hex_mapping,pincode,hr_order_created,time_category,order_external_id,city,product_detail_weight,product_volume,order_created_date
8860145331fffff,P_560100,hr_16,apr 11th to 30th,1,BANGALORE,2.915000000000001,375.9408242021341,2025-04-22
8860145335fffff,P_560100,hr_12,apr 11th to 30th,1,BANGALORE,4.848999999999998,643.0008960723499,2025-04-22
8860145335fffff,P_560100,hr_13,apr 11th to 30th,2,BANGALORE,9.697999999999997,1286.0017921446997,2025-04-22
8860145335fffff,P_560100,hr_15,apr 11th to 30th,4,BANGALORE,16.804000000000002,1832.6619503898796,2025-04-22
8860145335fffff,P_560100,hr_16,apr 11th to 30th,15,BANGALORE,53.04200000000001,6240.964509362368,2025-04-22
8860145a6dfffff,P_560100,hr_16,apr 11th to 30th,1,BANGALORE,10.701,1125.48232240083,2025-04-17
8860145b59fffff,P_560100,hr_12,apr 11th to 30th,2,BANGALORE,9.697999999999997,1286.0017921446997,2025-04-22
8860145b59fffff,P_560100,hr_13,apr 11th to 30th,4,BANGALORE,19.317999999999994,2379.3995639929017,2025-04-22
8860145b59fffff,P_560100,hr_14,apr 11th to 30th,6,BANGALORE,52.636,5034.4412547357715,2025-04-21
8860145b59fffff,P_560100,hr_15,apr 11th to 30th,7,BANGALORE,41.86,4033.6644577053426,2025-04-22
8860145b59fffff,P_560100,hr_16,apr 11th to 30th,28,BANGALORE,262.84000000000003,28138.720084909706,2025-04-22
8860145b59fffff,P_560100,hr_17,apr 11th to 30th,2,BANGALORE,21.402,2250.96464480166,2025-04-17
886014c365fffff,P_635118,hr_05,apr 11th to 30th,1,DHARMAPURI,2.387,544.001953231164,2025-04-18
886014c365fffff,P_635118,hr_10,apr 11th to 30th,1,DHARMAPURI,36.67,5243.367850477099,2025-04-23
886014c365fffff,P_635118,hr_16,apr 1st to 10th,1,DHARMAPURI,4.765000000000001,1229.363968251996,2025-04-09
886014c365fffff,P_635118,hr_18,apr 11th to 30th,1,DHARMAPURI,2.675,441.676795466187,2025-04-19
886014c365fffff,P_635118,hr_19,apr 11th to 30th,1,DHARMAPURI,7.872999999999998,1242.4260459942902,2025-04-20
886014c365fffff,P_635118,hr_20,apr 1st to 10th,2,DHARMAPURI,8.149,1208.172067714397,2025-04-10
886014c365fffff,P_635118,hr_21,apr 11th to 30th,1,DHARMAPURI,5.11,735.8441164943221,2025-04-27
886014c369fffff,P_635118,hr_08,apr 11th to 30th,1,DHARMAPURI,3.3049999999999997,450.04079120621304,2025-04-18
886014c369fffff,P_635118,hr_17,apr 11th to 30th,1,DHARMAPURI,5.430000000000001,520.2486167411499,2025-04-19
